CUSTOM_NODE,FUEL_TYPE,START_YEAR,END_YEAR,CAPACITY
ZAFXX,COA,1999,2049,716
ZAFXX,COA,2000,2050,716
ZAFXX,COA,2001,2051,716
ZAFXX,COA,1987,2037,665
ZAFXX,COA,1987,2037,665
ZAFXX,COA,1988,2038,665
ZAFXX,COA,1989,2039,665
ZAFXX,COA,1990,2040,665
ZAFXX,COA,1991,2041,665
ZAFXX,COA,1979,2029,600
ZAFXX,COA,1980,2030,600
ZAFXX,COA,1980,2030,600
ZAFXX,COA,1981,2031,600
ZAFXX,COA,1982,2032,600
ZAFXX,COA,1983,2033,600
ZAFXX,COA,2021,2071,794.8
ZAFXX,COA,2019,2069,794.8
ZAFXX,COA,2019,2069,794.8
ZAFXX,COA,2017,2067,794.8
ZAFXX,COA,2017,2067,794.8
ZAFXX,COA,2015,2065,794.8
ZAFXX,COA,1984,2034,38
ZAFXX,COA,1984,2034,34.3
ZAFXX,COA,1985,2035,609
ZAFXX,COA,1985,2035,609
ZAFXX,COA,1986,2036,609
ZAFXX,COA,1987,2037,609
ZAFXX,COA,1988,2038,609
ZAFXX,COA,1990,2040,609
ZAFXX,OIL,2023,2053,57
ZAFXX,OIL,2023,2053,57
ZAFXX,OIL,2023,2053,57
ZAFXX,OIL,2007,2037,149
ZAFXX,OIL,2007,2037,149
ZAFXX,OIL,2007,2037,149
ZAFXX,OIL,2007,2037,149
ZAFXX,OIL,2009,2039,148
ZAFXX,OIL,2009,2039,148
ZAFXX,OIL,2009,2039,148
ZAFXX,OIL,2009,2039,148
ZAFXX,OIL,2009,2039,148
ZAFXX,OIL,2016,2046,168
ZAFXX,OIL,2016,2046,168
ZAFXX,OIL,2016,2046,168
ZAFXX,OIL,2016,2046,168
ZAFXX,OIL,2015,2045,335
ZAFXX,OIL,2007,2037,148
ZAFXX,OIL,2007,2037,148
ZAFXX,OIL,2007,2037,148
ZAFXX,OIL,2009,2039,148
ZAFXX,OIL,2009,2039,148
ZAFXX,OIL,2023,2053,57
ZAFXX,OIL,2023,2053,57
ZAFXX,OIL,2023,2053,57
ZAFXX,OIL,2011,2041,280
ZAFXX,HYD,1982,2082,1000
ZAFXX,HYD,1971,2071,360
ZAFXX,HYD,2016,2116,1332
ZAFXX,HYD,1988,2088,400
ZAFXX,HYD,1979,2079,160
ZAFXX,HYD,1976,2076,240
