Datetime,SAUXX,TURXX,INDXX,CHNHK,CHNMA ,CHNAN ,CHNBE,CHNCH,CHNFU,CHNGA,CHNGD,CHNGX,CHNGU,CHNHA,CHNHB,CHNHJ,CHNHE,CHNHU,CHNHN,CHNWM,CHNEM,CHNJS,CHNJX,CHNJI,CHNLI,CHNNI,CHNQI,CHNSI,CHNSD,CHNSH,CHNSX,CHNSC,CHNTJ,CHNTI,CHNXI,CHNYU,CHNZH
01/01/2015 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2015 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2015 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2015 00:00,0,0,0,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721,0.000407721
02/01/2015 01:00,0,0,0.000550944,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264,0.015990264
02/01/2015 02:00,0,0,0.03313404,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329,0.11562329
02/01/2015 03:00,4.48E-08,0,0.172071521,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008,0.286048008
02/01/2015 04:00,0.008888739,0,0.353087112,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408,0.443465408
02/01/2015 05:00,0.111275662,0.000681309,0.493600672,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063,0.526912063
02/01/2015 06:00,0.304989973,0.067802716,0.589516334,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788,0.569229788
02/01/2015 07:00,0.490111931,0.25497816,0.619084244,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056,0.503718056
02/01/2015 08:00,0.630076424,0.464235525,0.597474368,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401,0.444536401
02/01/2015 09:00,0.710832479,0.61319763,0.548577224,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042,0.333533042
02/01/2015 10:00,0.731861946,0.681922909,0.443266662,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033,0.08756033
